"rgb","r","g","b","colorname","RGB"
"150 - 200 - 180","150","200","180","foam or mist or something","[150, 200, 180]"
"200 - 170 - 170","200","170","170","slightly neutral lavender","[200, 170, 170]"
"120 - 80 - 40","120","80","40","what can ____ do for you?","[120, 80, 40]"
"160 - 180 - 20","160","180","20","brownish greenish yellow","[160, 180, 20]"
"170 - 160 - 40","170","160","40","different yellow ochre","[170, 160, 40]"
"70 - 100 - 90","70","100","90","construction paper green","[70, 100, 90]"
"170 - 160 - 40","170","160","40","greenish mustard yellow","[170, 160, 40]"
"200 - 170 - 170","200","170","170","lighter browinsh purple","[200, 170, 170]"
"220 - 240 - 150","220","240","150","very light yellow brown","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light greenish blueish","[190, 220, 210]"
"220 - 240 - 150","220","240","150","faded parchment yellow","[220, 240, 150]"
"160 - 180 - 20","160","180","20","ugly 70s kitchen green","[160, 180, 20]"
"250 - 120 - 30","250","120","30","slightly darker orange","[250, 120, 30]"
"170 - 160 - 40","170","160","40","greenish medium yellow","[170, 160, 40]"
"170 - 160 - 40","170","160","40","dark green yellow puke","[170, 160, 40]"
"200 - 100 - 70","200","100","70","orange only burned","[200, 100, 70]"
"110 - 100 - 10","110","100","10","more vivid olive green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","brownish orangish red","[200, 100, 70]"
"220 - 240 - 150","220","240","150","light brownish yellow","[220, 240, 150]"
"220 - 240 - 150","220","240","150","light yellowish green","[220, 240, 150]"
"220 - 240 - 150","220","240","150","french cottage yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","brownish reddish pink","[200, 100, 70]"
"220 - 240 - 150","220","240","150","very light green haha","[220, 240, 150]"
"70 - 100 - 90","70","100","90","bluish greenish gray","[70, 100, 90]"
"150 - 200 - 180","150","200","180","sightly grayish mint","[150, 200, 180]"
"220 - 240 - 150","220","240","150","browney light yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","grayish blueish blah","[190, 220, 210]"
"200 - 100 - 70","200","100","70","autumn leaves orange","[200, 100, 70]"
"170 - 160 - 40","170","160","40","mustard  spicy brown","[170, 160, 40]"
"150 - 200 - 180","150","200","180","light teal or slate","[150, 200, 180]"
"160 - 0 - 80","160","0","80","dark reddish purple","[160, 0, 80]"
"220 - 240 - 150","220","240","150","light creamy yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light seafoam green","[190, 220, 210]"
"190 - 220 - 210","190","220","210","greenish light blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","tired sleepy monkey","[150, 200, 180]"
"150 - 200 - 180","150","200","180","institutional green","[150, 200, 180]"
"170 - 160 - 40","170","160","40","10 'o clock drinker","[170, 160, 40]"
"150 - 200 - 180","150","200","180","vintage green again","[150, 200, 180]"
"70 - 100 - 90","70","100","90","darkish bluey green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dark seafoam green","[150, 200, 180]"
"200 - 100 - 70","200","100","70","reddish pink brown","[200, 100, 70]"
"110 - 100 - 10","110","100","10","monkey feces brown","[110, 100, 10]"
"70 - 100 - 90","70","100","90","greenish dark grey","[70, 100, 90]"
"160 - 180 - 20","160","180","20","darker olive green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","light yellow green","[220, 240, 150]"
"70 - 100 - 90","70","100","90","greenblue ish grey","[70, 100, 90]"
"160 - 180 - 20","160","180","20","medium olive green","[160, 180, 20]"
"50 - 80 - 100","50","80","100","dark blue ish gray","[50, 80, 100]"
"70 - 100 - 90","70","100","90","dull greyish green","[70, 100, 90]"
"110 - 100 - 10","110","100","10","darker olive green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","light burnt orange","[200, 100, 70]"
"50 - 80 - 100","50","80","100","midnight navy blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","almost lime yellow","[160, 180, 20]"
"70 - 100 - 90","70","100","90","faded forest green","[70, 100, 90]"
"220 - 240 - 150","220","240","150","light yellow green","[220, 240, 150]"
"70 - 100 - 90","70","100","90","blueish nato green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dark pastel green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","pale green yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","orangy terracotta","[200, 100, 70]"
"160 - 180 - 20","160","180","20","light grass green","[160, 180, 20]"
"250 - 240 - 0","250","240","0","cornflower yellow","[250, 240, 0]"
"70 - 100 - 90","70","100","90","elephant man gray","[70, 100, 90]"
"160 - 180 - 20","160","180","20","light olive green","[160, 180, 20]"
"170 - 160 - 40","170","160","40","diarria poo stain","[170, 160, 40]"
"170 - 160 - 40","170","160","40","green+yellow+grey","[170, 160, 40]"
"200 - 160 - 180","200","160","180","dark grandma pink","[200, 160, 180]"
"200 - 100 - 70","200","100","70","old lady lipstick","[200, 100, 70]"
"70 - 100 - 90","70","100","90","earthy blue green","[70, 100, 90]"
"200 - 160 - 180","200","160","180","very dull purple?","[200, 160, 180]"
"200 - 160 - 180","200","160","180","light grey purple","[200, 160, 180]"
"200 - 160 - 180","200","160","180","light grey purple","[200, 160, 180]"
"160 - 180 - 20","160","180","20","dark yellow green","[160, 180, 20]"
"170 - 160 - 40","170","160","40","bayj spellcheck","[170, 160, 40]"
"170 - 160 - 40","170","160","40","ditch water green","[170, 160, 40]"
"160 - 180 - 20","160","180","20","dull yellow green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","pale yellow green","[220, 240, 150]"
"160 - 180 - 20","160","180","20","yellow green moss","[160, 180, 20]"
"190 - 220 - 210","190","220","210","nearly white blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","pastel gren green","[150, 200, 180]"
"50 - 80 - 100","50","80","100","grayish dark blue","[50, 80, 100]"
"110 - 100 - 10","110","100","10","dark yellow green","[110, 100, 10]"
"170 - 160 - 40","170","160","40","baby vomit khaki","[170, 160, 40]"
"110 - 100 - 10","110","100","10","camouflage green","[110, 100, 10]"
"220 - 240 - 150","220","240","150","very light green","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light aquamarine","[190, 220, 210]"
"110 - 100 - 10","110","100","10","pons slime green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","reddish burgundy","[200, 100, 70]"
"160 - 180 - 20","160","180","20","dirty lime green","[160, 180, 20]"
"200 - 100 - 70","200","100","70","coffee with milk","[200, 100, 70]"
"160 - 0 - 80","160","0","80","dark red or pink","[160, 0, 80]"
"150 - 200 - 180","150","200","180","light blue green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","pale dull yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","faint sage green","[190, 220, 210]"
"220 - 240 - 150","220","240","150","bruise version 2","[220, 240, 150]"
"120 - 80 - 40","120","80","40","solid shit brown","[120, 80, 40]"
"190 - 220 - 210","190","220","210","confederate grey","[190, 220, 210]"
"110 - 100 - 10","110","100","10","light army green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","light orange red","[200, 100, 70]"
"190 - 220 - 210","190","220","210","robin's egg blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","robin's egg blue","[150, 200, 180]"
"190 - 220 - 210","190","220","210","bright turquoise","[190, 220, 210]"
"190 - 220 - 210","190","220","210","pale bluish gray","[190, 220, 210]"
"160 - 180 - 20","160","180","20","pea green yellow","[160, 180, 20]"
"200 - 160 - 180","200","160","180","pale pink purple","[200, 160, 180]"
"200 - 170 - 170","200","170","170","light dusty rose","[200, 170, 170]"
"200 - 170 - 170","200","170","170","pale grey purple","[200, 170, 170]"
"200 - 100 - 70","200","100","70","terracotta brown","[200, 100, 70]"
"200 - 170 - 170","200","170","170","light red purple","[200, 170, 170]"
"200 - 160 - 180","200","160","180","desaturated pink","[200, 160, 180]"
"200 - 170 - 170","200","170","170","light periwinkle","[200, 170, 170]"
"200 - 100 - 70","200","100","70","dark salmon pink","[200, 100, 70]"
"150 - 200 - 180","150","200","180","robin's egg blue","[150, 200, 180]"
"190 - 220 - 210","190","220","210","desaturated blue","[190, 220, 210]"
"170 - 160 - 40","170","160","40","light army green","[170, 160, 40]"
"70 - 100 - 90","70","100","90","faded dark green","[70, 100, 90]"
"110 - 100 - 10","110","100","10","drab olive green","[110, 100, 10]"
"50 - 80 - 100","50","80","100","almost navy blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","very dull purple","[200, 160, 180]"
"150 - 200 - 180","150","200","180","very light green","[150, 200, 180]"
"110 - 100 - 10","110","100","10","dark olive brown","[110, 100, 10]"
"150 - 200 - 180","150","200","180","robin's egg blue","[150, 200, 180]"
"150 - 200 - 180","150","200","180","light blue green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","old shower tile","[220, 240, 150]"
"160 - 180 - 20","160","180","20","yellowish green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","greenish yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","orangish redish","[200, 100, 70]"
"170 - 160 - 40","170","160","40","brownish yellow","[170, 160, 40]"
"220 - 240 - 150","220","240","150","yellowish green","[220, 240, 150]"
"220 - 240 - 150","220","240","150","yellowish green","[220, 240, 150]"
"200 - 100 - 70","200","100","70","brownish orange","[200, 100, 70]"
"150 - 200 - 180","150","200","180","green grey blue","[150, 200, 180]"
"150 - 200 - 180","150","200","180","light navy blue","[150, 200, 180]"
"70 - 100 - 90","70","100","90","blue gray green","[70, 100, 90]"
"10 - 90 - 210","10","90","210","essence of blue","[10, 90, 210]"
"220 - 240 - 150","220","240","150","greenish yellow","[220, 240, 150]"
"200 - 170 - 170","200","170","170","muted red brown","[200, 170, 170]"
"150 - 200 - 180","150","200","180","pale turgquoise","[150, 200, 180]"
"170 - 160 - 40","170","160","40","brownish yellow","[170, 160, 40]"
"50 - 80 - 100","50","80","100","faded dark blue","[50, 80, 100]"
"150 - 200 - 180","150","200","180","light sea green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","greenish yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","periwinkle blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","greenish yellow","[160, 180, 20]"
"70 - 100 - 90","70","100","90","dark blue green","[70, 100, 90]"
"160 - 180 - 20","160","180","20","brownish yellow","[160, 180, 20]"
"50 - 80 - 100","50","80","100","light navy blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","smoky navy blue","[50, 80, 100]"
"250 - 240 - 0","250","240","0","big bird yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","sunshine yellow","[250, 240, 0]"
"160 - 0 - 80","160","0","80","turkish delight","[160, 0, 80]"
"220 - 240 - 150","220","240","150","pale pale green","[220, 240, 150]"
"200 - 100 - 70","200","100","70","orangish salmon","[200, 100, 70]"
"190 - 220 - 210","190","220","210","light blue grey","[190, 220, 210]"
"100 - 60 - 20","100","60","20","chocolate brown","[100, 60, 20]"
"160 - 180 - 20","160","180","20","brownish yellow","[160, 180, 20]"
"150 - 200 - 180","150","200","180","blue gray green","[150, 200, 180]"
"150 - 200 - 180","150","200","180","pale blue green","[150, 200, 180]"
"170 - 160 - 40","170","160","40","greenish yellow","[170, 160, 40]"
"200 - 100 - 70","200","100","70","faded brick red","[200, 100, 70]"
"220 - 240 - 150","220","240","150","greenish yellow","[220, 240, 150]"
"50 - 80 - 100","50","80","100","dark purple ish","[50, 80, 100]"
"110 - 100 - 10","110","100","10","camoflage brown","[110, 100, 10]"
"160 - 180 - 20","160","180","20","greenish yellow","[160, 180, 20]"
"100 - 60 - 20","100","60","20","baby poop brown","[100, 60, 20]"
"70 - 100 - 90","70","100","90","twilight forest","[70, 100, 90]"
"160 - 180 - 20","160","180","20","greenish yellow","[160, 180, 20]"
"190 - 220 - 210","190","220","210","steel blue grey","[190, 220, 210]"
"50 - 80 - 100","50","80","100","dark smoky blue","[50, 80, 100]"
"150 - 200 - 180","150","200","180","light gray blue","[150, 200, 180]"
"130 - 130 - 130","130","130","130","battleship gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","battleship grey","[130, 130, 130]"
"170 - 160 - 40","170","160","40","yellowish brown","[170, 160, 40]"
"240 - 0 - 10","240","0","10","fire engine red","[240, 0, 10]"
"110 - 100 - 10","110","100","10","greenish yellow","[110, 100, 10]"
"190 - 220 - 210","190","220","210","pale aquamarine","[190, 220, 210]"
"150 - 200 - 180","150","200","180","pale blue green","[150, 200, 180]"
"150 - 200 - 180","150","200","180","light grey blue","[150, 200, 180]"
"150 - 200 - 180","150","200","180","very light blue","[150, 200, 180]"
"160 - 180 - 20","160","180","20","brownish yellow","[160, 180, 20]"
"190 - 220 - 210","190","220","210","pale gray green","[190, 220, 210]"
"240 - 0 - 10","240","0","10","fire engine red","[240, 0, 10]"
"120 - 80 - 40","120","80","40","chocolate brown","[120, 80, 40]"
"200 - 170 - 170","200","170","170","dirty blue pink","[200, 170, 170]"
"100 - 60 - 20","100","60","20","chocolate brown","[100, 60, 20]"
"190 - 220 - 210","190","220","210","green ish grayh","[190, 220, 210]"
"170 - 160 - 40","170","160","40","dark leaf green","[170, 160, 40]"
"200 - 160 - 180","200","160","180","greyish purple","[200, 160, 180]"
"160 - 180 - 20","160","180","20","pea soup green","[160, 180, 20]"
"160 - 0 - 80","160","0","80","purple ish red","[160, 0, 80]"
"200 - 160 - 180","200","160","180","light lavender","[200, 160, 180]"
"200 - 160 - 180","200","160","180","greyish purple","[200, 160, 180]"
"150 - 200 - 180","150","200","180","pale turquoise","[150, 200, 180]"
"110 - 100 - 10","110","100","10","dark cappucino","[110, 100, 10]"
"50 - 80 - 100","50","80","100","dark grey teal","[50, 80, 100]"
"200 - 160 - 180","200","160","180","greyish purple","[200, 160, 180]"
"110 - 100 - 10","110","100","10","metallic green","[110, 100, 10]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"220 - 240 - 150","220","240","150","greenish white","[220, 240, 150]"
"110 - 100 - 10","110","100","10","camo green tan","[110, 100, 10]"
"50 - 80 - 100","50","80","100","dark grey blue","[50, 80, 100]"
"150 - 200 - 180","150","200","180","gray ish green","[150, 200, 180]"
"160 - 180 - 20","160","180","20","pea soup green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","pea soup green","[220, 240, 150]"
"200 - 100 - 70","200","100","70","dull brick red","[200, 100, 70]"
"160 - 0 - 80","160","0","80","magenta purple","[160, 0, 80]"
"160 - 0 - 80","160","0","80","reddish purple","[160, 0, 80]"
"110 - 100 - 10","110","100","10","oger breakfast","[110, 100, 10]"
"50 - 80 - 100","50","80","100","dark blue gray","[50, 80, 100]"
"130 - 30 - 180","130","30","180","blueish purple","[130, 30, 180]"
"170 - 160 - 40","170","160","40","brownish green","[170, 160, 40]"
"200 - 160 - 180","200","160","180","pinkish purple","[200, 160, 180]"
"100 - 60 - 20","100","60","20","milk chocolate","[100, 60, 20]"
"160 - 180 - 20","160","180","20","mustard yellow","[160, 180, 20]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"200 - 100 - 70","200","100","70","reddish orange","[200, 100, 70]"
"50 - 80 - 100","50","80","100","dark blue grey","[50, 80, 100]"
"160 - 180 - 20","160","180","20","greenish brown","[160, 180, 20]"
"170 - 160 - 40","170","160","40","oliveier olive","[170, 160, 40]"
"190 - 220 - 210","190","220","210","robin egg blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","baby poo brown","[160, 180, 20]"
"150 - 200 - 180","150","200","180","sea foam green","[150, 200, 180]"
"190 - 220 - 210","190","220","210","greenish white","[190, 220, 210]"
"200 - 100 - 70","200","100","70","fuck if i know","[200, 100, 70]"
"190 - 220 - 210","190","220","210","light sky blue","[190, 220, 210]"
"160 - 180 - 20","160","180","20","baby poo green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","yellowish grey","[220, 240, 150]"
"200 - 160 - 180","200","160","180","grayish purple","[200, 160, 180]"
"200 - 170 - 170","200","170","170","pinkish purple","[200, 170, 170]"
"120 - 80 - 40","120","80","40","chestnut brown","[120, 80, 40]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"50 - 80 - 100","50","80","100","grey with blue","[50, 80, 100]"
"30 - 90 - 210","30","90","210","toy story blue","[30, 90, 210]"
"160 - 0 - 80","160","0","80","light burgundy","[160, 0, 80]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"50 - 80 - 100","50","80","100","dark turquoise","[50, 80, 100]"
"110 - 100 - 10","110","100","10","dark baby poop","[110, 100, 10]"
"160 - 0 - 80","160","0","80","bright magenta","[160, 0, 80]"
"150 - 200 - 180","150","200","180","pale blue/grey","[150, 200, 180]"
"120 - 80 - 40","120","80","40","milk chocolate","[120, 80, 40]"
"190 - 220 - 210","190","220","210","sea foam green","[190, 220, 210]"
"50 - 80 - 100","50","80","100","dark blue grey","[50, 80, 100]"
"70 - 100 - 90","70","100","90","semi turquoise","[70, 100, 90]"
"250 - 120 - 30","250","120","30","cadmium orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","light lavender","[200, 160, 180]"
"200 - 170 - 170","200","170","170","grayish purple","[200, 170, 170]"
"170 - 160 - 40","170","160","40","brownish green","[170, 160, 40]"
"250 - 240 - 0","250","240","0","mustard yellow","[250, 240, 0]"
"200 - 160 - 180","200","160","180","grayish purple","[200, 160, 180]"
"110 - 100 - 10","110","100","10","military green","[110, 100, 10]"
"50 - 80 - 100","50","80","100","dark sea green","[50, 80, 100]"
"200 - 100 - 70","200","100","70","pinkish orange","[200, 100, 70]"
"160 - 180 - 20","160","180","20","mustard yellow","[160, 180, 20]"
"160 - 0 - 80","160","0","80","pinkish purple","[160, 0, 80]"
"50 - 80 - 100","50","80","100","petroleum blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","dark grey blue","[50, 80, 100]"
"160 - 0 - 80","160","0","80","reddish purple","[160, 0, 80]"
"200 - 100 - 70","200","100","70","reddish orange","[200, 100, 70]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"220 - 240 - 150","220","240","150","i dont know","[220, 240, 150]"
"130 - 130 - 130","130","130","130","greyish purple","[130, 130, 130]"
"70 - 100 - 90","70","100","90","dark grey blue","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dull grey blue","[150, 200, 180]"
"150 - 200 - 180","150","200","180","pale blue grey","[150, 200, 180]"
"110 - 100 - 10","110","100","10","greenish brown","[110, 100, 10]"
"70 - 100 - 90","70","100","90","dark turquoise","[70, 100, 90]"
"150 - 200 - 180","150","200","180","hospital green","[150, 200, 180]"
"190 - 220 - 210","190","220","210","pale pale blue","[190, 220, 210]"
"120 - 80 - 40","120","80","40","milk chocolate","[120, 80, 40]"
"160 - 0 - 80","160","0","80","purple ish red","[160, 0, 80]"
"70 - 100 - 90","70","100","90","blackish green","[70, 100, 90]"
"30 - 90 - 210","30","90","210","colonial blue","[30, 90, 210]"
"150 - 200 - 180","150","200","180","geryish green","[150, 200, 180]"
"130 - 130 - 130","130","130","130","greenish grey","[130, 130, 130]"
"200 - 170 - 170","200","170","170","grayish brown","[200, 170, 170]"
"150 - 200 - 180","150","200","180","blue greenish","[150, 200, 180]"
"220 - 240 - 150","220","240","150","yellowy green","[220, 240, 150]"
"170 - 160 - 40","170","160","40","cow poo brown","[170, 160, 40]"
"30 - 90 - 210","30","90","210","electric blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","dark sky blue","[10, 90, 210]"
"70 - 100 - 90","70","100","90","greenish gray","[70, 100, 90]"
"130 - 30 - 180","130","30","180","bright purple","[130, 30, 180]"
"220 - 240 - 150","220","240","150","butter yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","orangey brown","[200, 100, 70]"
"220 - 240 - 150","220","240","150","pastel yellow","[220, 240, 150]"
"150 - 200 - 180","150","200","180","seafoam green","[150, 200, 180]"
"150 - 200 - 180","150","200","180","greenish blue","[150, 200, 180]"
"170 - 160 - 40","170","160","40","spanish olive","[170, 160, 40]"
"200 - 160 - 180","200","160","180","grey purplish","[200, 160, 180]"
"200 - 170 - 170","200","170","170","reddish beige","[200, 170, 170]"
"70 - 100 - 90","70","100","90","greenish gray","[70, 100, 90]"
"220 - 240 - 150","220","240","150","failish white","[220, 240, 150]"
"200 - 160 - 180","200","160","180","flower purple","[200, 160, 180]"
"200 - 160 - 180","200","160","180","pale lavender","[200, 160, 180]"
"50 - 80 - 100","50","80","100","midnight blue","[50, 80, 100]"
"250 - 240 - 0","250","240","0","bright yellow","[250, 240, 0]"
"110 - 100 - 10","110","100","10","mustard brown","[110, 100, 10]"
"130 - 30 - 180","130","30","180","bright purple","[130, 30, 180]"
"50 - 80 - 100","50","80","100","midnight blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","midnight teal","[50, 80, 100]"
"170 - 160 - 40","170","160","40","mustard brown","[170, 160, 40]"
"130 - 30 - 180","130","30","180","purplish blue","[130, 30, 180]"
"100 - 60 - 20","100","60","20","brown leather","[100, 60, 20]"
"160 - 0 - 80","160","0","80","dark hot pink","[160, 0, 80]"
"190 - 220 - 210","190","220","210","greenish grey","[190, 220, 210]"
"240 - 0 - 10","240","0","10","stoplight red","[240, 0, 10]"
"70 - 100 - 90","70","100","90","greenish gray","[70, 100, 90]"
"250 - 120 - 30","250","120","30","ubuntu orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","brownish gray","[200, 170, 170]"
"110 - 100 - 10","110","100","10","grayish brown","[110, 100, 10]"
"120 - 80 - 40","120","80","40","light leather","[120, 80, 40]"
"160 - 180 - 20","160","180","20","mustard green","[160, 180, 20]"
"200 - 160 - 180","200","160","180","purple pastel","[200, 160, 180]"
"150 - 200 - 180","150","200","180","seafoam green","[150, 200, 180]"
"120 - 80 - 40","120","80","40","reddish brown","[120, 80, 40]"
"200 - 100 - 70","200","100","70","orangeish red","[200, 100, 70]"
"200 - 160 - 180","200","160","180","light purple","[200, 160, 180]"
"200 - 100 - 70","200","100","70","pale rust red","[200, 100, 70]"
"150 - 200 - 180","150","200","180","light blueish","[150, 200, 180]"
"200 - 160 - 180","200","160","180","lavender pink","[200, 160, 180]"
"160 - 0 - 80","160","0","80","jazzberry jam","[160, 0, 80]"
"200 - 100 - 70","200","100","70","smokey orange","[200, 100, 70]"
"170 - 160 - 40","170","160","40","olivegreenish","[170, 160, 40]"
"220 - 240 - 150","220","240","150","greeny yellow","[220, 240, 150]"
"250 - 240 - 0","250","240","0","bright yellow","[250, 240, 0]"
"200 - 160 - 180","200","160","180","powder purple","[200, 160, 180]"
"50 - 80 - 100","50","80","100","prussian blue","[50, 80, 100]"
"200 - 170 - 170","200","170","170","crocus purple","[200, 170, 170]"
"250 - 120 - 30","250","120","30","bright orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","reddish brown","[200, 100, 70]"
"70 - 100 - 90","70","100","90","grayish green","[70, 100, 90]"
"220 - 240 - 150","220","240","150","antique white","[220, 240, 150]"
"70 - 100 - 90","70","100","90","greenish gray","[70, 100, 90]"
"130 - 30 - 180","130","30","180","bright purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","pastel purple","[200, 160, 180]"
"160 - 0 - 80","160","0","80","bright purple","[160, 0, 80]"
"150 - 200 - 180","150","200","180","dirty seafoam","[150, 200, 180]"
"250 - 120 - 30","250","120","30","yellow orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","bright purple","[200, 160, 180]"
"200 - 160 - 180","200","160","180","lavender deep","[200, 160, 180]"
"200 - 160 - 180","200","160","180","lavender rose","[200, 160, 180]"
"150 - 200 - 180","150","200","180","shallow water","[150, 200, 180]"
"200 - 160 - 180","200","160","180","pale lavender","[200, 160, 180]"
"170 - 160 - 40","170","160","40","orangey brown","[170, 160, 40]"
"200 - 170 - 170","200","170","170","purplish grey","[200, 170, 170]"
"200 - 170 - 170","200","170","170","pastel purple","[200, 170, 170]"
"50 - 80 - 100","50","80","100","greyish green","[50, 80, 100]"
"70 - 100 - 90","70","100","90","greenish blue","[70, 100, 90]"
"160 - 180 - 20","160","180","20","mustard green","[160, 180, 20]"
"190 - 220 - 210","190","220","210","greyish green","[190, 220, 210]"
"250 - 120 - 30","250","120","30","darker orange","[250, 120, 30]"
"220 - 240 - 150","220","240","150","light yellow","[220, 240, 150]"
"200 - 170 - 170","200","170","170","light purple","[200, 170, 170]"
"200 - 160 - 180","200","160","180","light purple","[200, 160, 180]"
"200 - 170 - 170","200","170","170","light purple","[200, 170, 170]"
"200 - 160 - 180","200","160","180","grayish pink","[200, 160, 180]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"100 - 60 - 20","100","60","20","darker brown","[100, 60, 20]"
"250 - 120 - 30","250","120","30","cream orange","[250, 120, 30]"
"220 - 20 - 0","220","20","0","blood orange","[220, 20, 0]"
"170 - 160 - 40","170","160","40","green yellow","[170, 160, 40]"
"170 - 160 - 40","170","160","40","yellow brown","[170, 160, 40]"
"200 - 170 - 170","200","170","170","greyish pink","[200, 170, 170]"
"160 - 180 - 20","160","180","20","bright olive","[160, 180, 20]"
"160 - 180 - 20","160","180","20","dirty yellow","[160, 180, 20]"
"250 - 120 - 30","250","120","30","vivid orange","[250, 120, 30]"
"190 - 220 - 210","190","220","210","lighter blue","[190, 220, 210]"
"200 - 170 - 170","200","170","170","light purple","[200, 170, 170]"
"110 - 100 - 10","110","100","10","olivey brown","[110, 100, 10]"
"200 - 170 - 170","200","170","170","beige y pink","[200, 170, 170]"
"220 - 20 - 0","220","20","0","period blood","[220, 20, 0]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"70 - 100 - 90","70","100","90","forest green","[70, 100, 90]"
"200 - 100 - 70","200","100","70","burnt orange","[200, 100, 70]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"50 - 80 - 100","50","80","100","grayish blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","light purple","[200, 160, 180]"
"220 - 240 - 150","220","240","150","minty yellow","[220, 240, 150]"
"110 - 100 - 10","110","100","10","orangy brown","[110, 100, 10]"
"110 - 100 - 10","110","100","10","almost brown","[110, 100, 10]"
"200 - 100 - 70","200","100","70","burnt orange","[200, 100, 70]"
"200 - 160 - 180","200","160","180","faded purple","[200, 160, 180]"
"160 - 0 - 80","160","0","80","dark magenta","[160, 0, 80]"
"160 - 180 - 20","160","180","20","brown yellow","[160, 180, 20]"
"200 - 160 - 180","200","160","180","light purple","[200, 160, 180]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","booger green","[160, 180, 20]"
"130 - 30 - 180","130","30","180","happy purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","light purple","[200, 160, 180]"
"200 - 100 - 70","200","100","70","orange brown","[200, 100, 70]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"170 - 160 - 40","170","160","40","brown yellow","[170, 160, 40]"
"200 - 170 - 170","200","170","170","pinkish grey","[200, 170, 170]"
"160 - 180 - 20","160","180","20","yellow green","[160, 180, 20]"
"250 - 240 - 0","250","240","0","sunny yellow","[250, 240, 0]"
"160 - 180 - 20","160","180","20","green yellow","[160, 180, 20]"
"160 - 180 - 20","160","180","20","dirty yellow","[160, 180, 20]"
"150 - 200 - 180","150","200","180","cheezy green","[150, 200, 180]"
"200 - 100 - 70","200","100","70","velociraptor","[200, 100, 70]"
"170 - 160 - 40","170","160","40","yellow green","[170, 160, 40]"
"130 - 30 - 180","130","30","180","royal purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","sunny yellow","[250, 240, 0]"
"200 - 160 - 180","200","160","180","grayish pink","[200, 160, 180]"
"200 - 100 - 70","200","100","70","light orange","[200, 100, 70]"
